Date,Open,High,Low,Close,Adj Close,Volume
2020-09-11,2312.000000,2337.850098,2287.100098,2319.750000,2305.370605,27445768
2020-09-14,2325.000000,2360.000000,2282.000000,2302.550049,2288.277100,20335273
2020-09-15,2311.949951,2325.750000,2288.149902,2318.850098,2304.476318,12542824
2020-09-16,2320.000000,2369.350098,2310.550049,2324.550049,2310.140869,15668979
2020-09-17,2320.000000,2333.699951,2291.850098,2298.750000,2284.500732,11919927
2020-09-18,2314.250000,2319.449951,2276.550049,2305.699951,2291.407715,15264068
2020-09-21,2300.000000,2336.000000,2247.350098,2255.850098,2241.866699,15519031
2020-09-22,2277.000000,2277.000000,2201.550049,2211.149902,2197.443604,16056620
2020-09-23,2260.000000,2276.750000,2205.300049,2230.800049,2216.971924,19839282
2020-09-24,2207.899902,2226.000000,2176.050049,2181.199951,2167.679443,13764841
2020-09-25,2189.000000,2212.800049,2167.300049,2201.699951,2188.052246,13095028
2020-09-28,2227.000000,2238.000000,2207.050049,2216.250000,2202.512207,9076248
2020-09-29,2225.000000,2264.000000,2216.250000,2245.050049,2231.133545,11926328
2020-09-30,2260.000000,2267.000000,2225.000000,2234.350098,2220.500244,11290667
2020-10-01,2263.800049,2263.800049,2214.000000,2225.250000,2211.456543,9591456
2020-10-05,2244.000000,2249.149902,2206.000000,2212.199951,2198.487305,8732869
2020-10-06,2225.250000,2233.899902,2201.649902,2210.350098,2196.648926,8497216
2020-10-07,2235.000000,2309.000000,2220.000000,2257.500000,2243.506348,24538346
2020-10-08,2259.000000,2268.000000,2222.100098,2239.250000,2225.369629,9727405
2020-10-09,2235.000000,2253.000000,2217.100098,2233.449951,2219.605469,8558745
2020-10-12,2235.000000,2255.750000,2226.250000,2237.050049,2223.183350,6565515
2020-10-13,2230.600098,2285.750000,2225.850098,2280.699951,2266.562744,10666190
2020-10-14,2278.899902,2304.000000,2268.500000,2287.500000,2273.320557,12341434
2020-10-15,2290.000000,2290.000000,2195.000000,2206.500000,2192.822510,9246702
2020-10-16,2215.000000,2232.500000,2172.649902,2175.800049,2162.312988,9960828
2020-10-19,2190.050049,2228.699951,2155.149902,2176.199951,2162.710449,14398973
2020-10-20,2179.000000,2193.000000,2152.250000,2155.899902,2142.536133,8529573
2020-10-21,2168.000000,2192.000000,2097.750000,2124.600098,2111.430420,15728986
2020-10-22,2127.399902,2132.500000,2091.000000,2106.949951,2093.889648,14215215
2020-10-23,2106.000000,2135.000000,2096.399902,2113.050049,2099.951904,10809307
2020-10-26,2101.949951,2101.949951,2018.500000,2029.099976,2016.522217,17225212
2020-10-27,2034.900024,2059.850098,2005.000000,2034.500000,2021.888794,16835005
2020-10-28,2041.800049,2057.699951,2007.400024,2011.449951,1998.981689,13809929
2020-10-29,1997.000000,2042.000000,1991.000000,2026.900024,2014.335938,14147418
2020-10-30,2033.500000,2065.100098,2021.800049,2054.500000,2041.764771,15700946
